PERMNO,date,TICKER,RET
13407,26/03/2020,FB,0.045644
13407,27/03/2020,FB,-0.040100
13407,30/03/2020,FB,0.058422
13407,31/03/2020,FB,0.005122
13407,01/04/2020,FB,-0.043165
13407,02/04/2020,FB,-0.008835
13407,03/04/2020,FB,-0.025349
13407,06/04/2020,FB,0.073745
13407,07/04/2020,FB,0.019813
13407,08/04/2020,FB,0.032281
13407,09/04/2020,FB,0.005222
13407,13/04/2020,FB,-0.002283
13407,14/04/2020,FB,0.019338
13407,15/04/2020,FB,-0.006735
13407,16/04/2020,FB,-0.004068
13407,17/04/2020,FB,0.016965
13407,20/04/2020,FB,-0.005579
13407,21/04/2020,FB,-0.041741
13407,22/04/2020,FB,0.067213
13407,23/04/2020,FB,0.015635
13407,24/04/2020,FB,0.026684
13407,27/04/2020,FB,-0.013521
13407,28/04/2020,FB,-0.024480
13407,29/04/2020,FB,0.061670
13407,30/04/2020,FB,0.054174
13407,01/05/2020,FB,-0.011919
13407,04/05/2020,FB,0.014782
13407,05/05/2020,FB,0.008818
13407,06/05/2020,FB,0.006761
13407,07/05/2020,FB,0.013383
13407,08/05/2020,FB,0.005160
13407,11/05/2020,FB,0.003909
13407,12/05/2020,FB,-0.014448
13407,13/05/2020,FB,-0.023798
13407,14/05/2020,FB,0.008337
13407,15/05/2020,FB,0.019680
13407,18/05/2020,FB,0.010954
13407,19/05/2020,FB,0.017309
13407,20/05/2020,FB,0.060356
13407,21/05/2020,FB,0.006175
13407,22/05/2020,FB,0.015212
13407,26/05/2020,FB,-0.011536
13407,27/05/2020,FB,-0.013178
13407,28/05/2020,FB,-0.016060
13407,29/05/2020,FB,-0.001641
13407,01/06/2020,FB,0.030299
13407,02/06/2020,FB,0.003493
13407,03/06/2020,FB,-0.011000
13407,04/06/2020,FB,-0.016814
13407,05/06/2020,FB,0.019798
13407,08/06/2020,FB,0.002730
13407,09/06/2020,FB,0.031417
13407,10/06/2020,FB,-0.008128
13407,11/06/2020,FB,-0.051958
